Jméno obce,Okres,Kraj,Počet voličů,Počet odevzdaných hlasů,Počet platných hlasů,Počet volebních okrsků,Číslo obce,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
Pravy,Pardubice,Pardubický kraj,83,50,49,1,572853,3,0,0,2,0,3,4,0,1,0,0,0,5,0,1,18,1,1,2,0,1,0,2,5
Přelouč,Pardubice,Pardubický kraj,7203,4419,4384,14,575500,415,5,9,385,3,346,398,54,41,58,6,5,456,5,146,1294,4,9,153,35,4,9,531,13
Přelovice,Pardubice,Pardubický kraj,175,119,118,1,575518,3,2,0,7,0,3,17,0,3,0,0,0,11,0,4,46,0,0,8,0,0,0,13,1
Přepychy,Pardubice,Pardubický kraj,71,61,61,1,575526,2,0,0,1,0,4,8,0,0,1,0,0,9,0,2,20,0,0,3,0,0,0,11,0
Ráby,Pardubice,Pardubický kraj,468,302,301,1,575534,65,0,0,20,0,14,16,7,2,9,0,1,40,0,24,80,0,0,7,0,1,0,12,3
Rohovládova Bělá,Pardubice,Pardubický kraj,460,302,302,1,575551,26,1,0,17,0,21,20,3,1,4,0,1,30,0,5,117,0,2,22,0,1,1,26,4
Rohoznice,Pardubice,Pardubický kraj,224,153,153,1,575569,14,0,0,3,0,8,12,0,2,0,0,0,8,0,4,76,1,0,2,0,0,0,23,0
Rokytno,Pardubice,Pardubický kraj,676,428,427,2,575577,36,1,0,22,0,21,24,13,4,3,0,0,56,0,18,150,1,1,33,3,2,1,37,1
Rybitví,Pardubice,Pardubický kraj,1133,656,656,1,575593,59,1,1,53,0,22,67,10,7,7,0,0,66,3,20,229,1,2,12,5,4,2,82,3
Řečany nad Labem,Pardubice,Pardubický kraj,1096,769,764,2,575607,67,1,3,36,0,277,53,0,4,5,0,0,54,0,23,171,2,3,11,0,1,1,50,2
Selmice,Pardubice,Pardubický kraj,99,47,47,1,575615,1,0,0,4,0,7,11,0,0,2,0,0,1,0,1,15,0,1,0,0,0,0,4,0
Semín,Pardubice,Pardubický kraj,475,292,290,1,575623,26,0,1,21,1,40,31,3,2,4,0,0,23,0,10,93,0,1,7,4,0,0,23,0
Sezemice,Pardubice,Pardubický kraj,2975,2033,2017,8,575640,252,2,5,114,1,152,109,27,9,28,0,6,199,0,112,658,4,3,123,13,5,3,188,4
Slepotice,Pardubice,Pardubický kraj,350,227,226,1,575658,26,0,0,21,0,13,18,8,0,3,0,0,18,0,4,77,0,0,13,2,1,0,21,1
Sopřeč,Pardubice,Pardubický kraj,221,115,114,1,575666,11,0,0,18,0,9,5,3,2,2,0,0,8,0,1,38,2,0,3,1,0,0,10,1
Sovolusky,Pardubice,Pardubický kraj,106,72,72,1,573027,4,0,0,7,0,5,10,0,1,0,0,2,9,0,0,18,0,0,1,2,0,0,13,0
Spojil,Pardubice,Pardubický kraj,410,316,311,1,574198,70,0,1,11,2,17,8,9,3,7,0,0,32,0,21,84,0,0,19,3,1,0,22,1
Srch,Pardubice,Pardubický kraj,1187,876,868,2,575682,154,0,1,49,0,29,52,11,3,19,0,1,112,0,51,263,0,1,42,14,0,1,64,1
Srnojedy,Pardubice,Pardubický kraj,540,365,363,1,553719,65,0,0,15,2,14,21,3,5,11,0,2,33,0,28,111,1,0,21,2,0,0,27,2
Staré Hradiště,Pardubice,Pardubický kraj,1385,957,955,2,575704,176,0,0,58,0,59,40,9,7,20,0,2,115,1,68,283,0,2,27,5,2,2,76,3
Staré Jesenčany,Pardubice,Pardubický kraj,307,232,232,1,575712,42,0,0,14,0,10,20,1,4,4,1,0,24,1,6,67,0,0,13,1,2,1,21,0
Staré Ždánice,Pardubice,Pardubický kraj,491,314,312,1,575721,42,3,0,31,1,6,29,2,3,6,0,0,16,0,11,113,1,0,4,3,0,1,40,0
Starý Mateřov,Pardubice,Pardubický kraj,419,279,278,1,575739,40,3,0,21,0,12,5,5,5,3,0,0,32,0,11,114,0,0,9,0,0,0,18,0
Stéblová,Pardubice,Pardubický kraj,183,144,143,1,572934,14,0,0,7,0,3,12,2,1,2,0,0,21,0,7,53,0,0,4,3,1,1,12,0
Stojice,Pardubice,Pardubický kraj,182,109,109,1,575755,6,0,1,7,0,3,11,0,0,1,0,0,15,0,0,49,0,0,3,1,0,1,11,0
Strašov,Pardubice,Pardubický kraj,262,172,168,1,575763,23,0,0,16,0,23,11,3,6,3,0,1,16,0,4,30,0,0,15,0,0,0,16,1
Svinčany,Pardubice,Pardubický kraj,353,206,206,1,575771,19,0,0,10,1,6,17,4,2,2,0,0,23,0,9,76,0,0,16,1,0,1,19,0
Svojšice,Pardubice,Pardubický kraj,207,142,142,1,575780,13,0,0,15,0,10,22,3,2,1,0,0,11,0,3,40,0,1,5,0,0,0,16,0
Tetov,Pardubice,Pardubický kraj,141,94,94,1,575810,7,0,0,4,0,8,13,0,3,0,1,0,7,0,2,32,0,2,1,0,0,0,14,0
Trnávka,Pardubice,Pardubický kraj,170,100,100,1,530794,1,0,0,2,0,23,16,0,0,0,0,0,7,0,3,35,0,1,1,2,0,0,9,0
Trusnov,Pardubice,Pardubický kraj,171,106,106,1,575828,6,0,1,9,0,3,9,0,1,0,0,0,6,0,1,55,0,0,2,1,0,3,9,0
Třebosice,Pardubice,Pardubický kraj,171,115,115,1,572985,13,1,0,7,0,6,8,3,0,0,0,0,15,0,7,32,0,1,10,0,0,0,11,1
Turkovice,Pardubice,Pardubický kraj,223,119,119,1,575844,19,0,0,12,0,6,11,2,0,0,0,0,8,0,1,48,0,0,0,1,0,0,11,0
Uhersko,Pardubice,Pardubický kraj,216,146,145,1,575879,26,0,0,3,0,4,8,1,6,2,1,0,19,0,3,45,0,0,9,0,0,2,16,0
Úhřetická Lhota,Pardubice,Pardubický kraj,218,143,141,1,575887,5,0,0,11,0,9,22,2,0,9,0,1,8,0,1,56,0,0,3,0,0,0,14,0
Újezd u Přelouče,Pardubice,Pardubický kraj,148,91,91,1,575909,9,0,0,8,0,9,7,1,1,1,0,1,7,0,1,36,1,0,4,0,0,0,5,0
Újezd u Sezemic,Pardubice,Pardubický kraj,139,83,83,1,572888,4,2,0,6,1,1,3,0,1,0,0,0,12,0,6,34,0,0,3,0,0,0,10,0
Urbanice,Pardubice,Pardubický kraj,62,46,46,1,575917,7,0,0,5,0,2,3,0,0,0,0,0,8,0,1,13,0,1,0,0,0,0,6,0
Valy,Pardubice,Pardubický kraj,397,259,256,1,575925,18,0,0,15,0,18,30,1,2,5,0,0,35,0,5,74,2,0,5,2,2,0,42,0
Vápno,Pardubice,Pardubický kraj,104,57,57,1,575933,2,0,0,1,0,9,4,0,1,0,0,0,7,0,0,22,0,0,0,1,0,0,10,0
Veliny,Pardubice,Pardubický kraj,379,231,231,1,575941,31,0,0,16,1,12,21,0,2,7,0,1,21,1,2,70,0,0,8,1,0,2,35,0
Veselí,Pardubice,Pardubický kraj,285,192,190,1,575968,16,0,0,10,0,25,15,1,2,6,0,0,19,0,8,64,1,0,0,3,1,0,18,1
Vlčí Habřina,Pardubice,Pardubický kraj,252,174,174,1,575984,9,0,0,11,0,11,11,1,1,2,0,1,13,1,4,75,0,0,7,2,0,0,24,1
Voleč,Pardubice,Pardubický kraj,290,208,206,1,575992,16,0,0,9,0,16,12,1,3,2,0,0,26,0,5,76,0,1,15,2,1,1,20,0
Vysoké Chvojno,Pardubice,Pardubický kraj,320,210,208,1,576000,22,1,0,17,1,7,14,3,3,6,0,1,26,1,7,64,1,1,7,0,0,1,25,0
Vyšehněvice,Pardubice,Pardubický kraj,202,135,133,1,576018,22,0,0,5,0,11,4,4,0,3,0,1,8,0,8,39,0,2,6,0,0,1,18,1
Zdechovice,Pardubice,Pardubický kraj,478,283,278,2,576026,5,3,0,24,0,32,48,3,4,8,0,0,32,1,11,65,1,1,11,1,1,0,25,2
Žáravice,Pardubice,Pardubický kraj,110,77,75,1,576042,0,0,0,5,0,1,2,0,0,7,0,0,5,0,2,42,0,0,0,0,0,0,11,0
Živanice,Pardubice,Pardubický kraj,771,494,492,2,576051,56,1,1,33,0,29,61,4,5,2,0,3,49,0,11,175,1,0,20,4,3,1,33,0
Banín,Svitavy,Pardubický kraj,264,157,157,1,572560,7,0,0,12,0,5,23,1,3,3,0,1,14,0,4,54,0,0,18,0,0,3,8,1
Bělá nad Svitavou,Svitavy,Pardubický kraj,413,238,237,1,572586,16,0,0,24,2,9,20,3,1,2,0,1,16,0,6,99,0,1,11,0,1,1,23,1
Bělá u Jevíčka,Svitavy,Pardubický kraj,310,203,203,1,505391,8,7,0,24,0,8,34,1,1,1,0,0,15,0,3,53,0,0,8,4,0,2,33,1
Benátky,Svitavy,Pardubický kraj,286,203,200,1,577774,28,0,3,24,0,8,5,0,5,6,0,1,20,0,12,49,0,0,25,1,1,0,12,0
Bezděčí u Trnávky,Svitavy,Pardubický kraj,177,120,119,1,574309,6,0,0,10,1,6,8,0,4,1,1,0,12,0,5,45,0,1,8,0,0,0,11,0
Biskupice,Svitavy,Pardubický kraj,370,224,224,1,572519,13,0,0,26,0,31,40,2,2,1,1,0,21,0,0,55,0,0,12,0,0,2,17,1
Bohuňov,Svitavy,Pardubický kraj,134,101,100,1,577812,6,0,0,6,0,3,9,0,0,2,0,0,7,0,0,28,0,0,22,1,0,0,16,0
Bohuňovice,Svitavy,Pardubický kraj,93,52,52,1,577821,3,0,0,5,2,1,1,0,5,0,0,0,7,0,1,10,0,0,5,0,0,2,9,1
Borová,Svitavy,Pardubický kraj,804,543,542,1,577839,67,15,0,48,1,27,50,7,1,12,0,2,64,1,11,135,0,1,72,1,1,0,22,4
Borušov,Svitavy,Pardubický kraj,147,84,84,1,572632,5,2,0,5,0,5,24,1,1,0,0,0,5,0,2,21,0,1,2,0,0,3,6,1
Brněnec,Svitavy,Pardubický kraj,1091,621,618,1,577863,41,0,0,66,2,15,77,9,18,3,0,0,40,0,11,227,1,2,28,1,2,3,72,0
Březina,Svitavy,Pardubický kraj,292,178,175,1,577871,7,4,0,13,0,6,32,1,0,7,0,1,9,0,2,61,0,0,5,0,1,0,24,2
Březinky,Svitavy,Pardubický kraj,109,79,79,1,572250,0,0,0,13,0,4,9,2,0,2,0,0,11,0,1,20,0,0,6,0,0,0,11,0
Březiny,Svitavy,Pardubický kraj,124,92,92,1,577898,16,0,0,11,0,5,11,2,2,0,0,0,6,0,3,22,0,0,5,0,1,0,8,0
Březová nad Svitavou,Svitavy,Pardubický kraj,1289,686,679,1,505145,66,2,0,92,0,16,60,4,6,12,0,1,73,1,29,188,0,3,25,4,4,5,86,2
Budislav,Svitavy,Pardubický kraj,373,249,249,1,577910,19,0,0,9,0,37,19,1,3,0,0,0,16,0,9,75,0,0,31,1,0,0,28,1
Bystré,Svitavy,Pardubický kraj,1248,851,844,1,577928,153,2,0,78,0,16,61,6,7,7,0,3,78,0,39,170,0,0,174,3,1,4,37,5
Cerekvice nad Loučnou,Svitavy,Pardubický kraj,651,414,411,1,577936,42,0,4,27,0,33,26,3,6,9,1,2,43,0,14,127,0,2,30,2,2,1,33,4
Čistá,Svitavy,Pardubický kraj,773,475,472,1,577944,37,1,1,24,1,32,46,4,10,4,2,0,49,0,15,145,0,1,37,1,0,1,57,4
Desná,Svitavy,Pardubický kraj,262,198,197,1,572357,5,1,0,6,0,48,7,1,2,1,0,0,24,0,3,49,0,0,39,2,0,0,8,1
Dětřichov,Svitavy,Pardubický kraj,271,136,136,1,577961,8,0,0,7,0,3,13,0,1,4,0,0,17,0,4,54,0,0,10,1,0,0,14,0
Dětřichov u Moravské Třebové,Svitavy,Pardubický kraj,168,99,99,1,572683,5,0,0,10,0,4,26,0,0,2,0,0,9,0,1,27,0,0,4,0,0,0,11,0
Dlouhá Loučka,Svitavy,Pardubický kraj,446,245,242,1,577987,5,0,0,18,0,1,38,2,2,2,0,1,12,0,3,118,0,1,9,2,0,1,27,0
Dolní Újezd,Svitavy,Pardubický kraj,1586,1128,1114,2,577995,115,1,2,64,0,123,66,18,13,9,1,0,100,0,42,251,1,0,205,4,4,0,94,1
Gruna,Svitavy,Pardubický kraj,173,111,111,1,574325,3,0,0,8,0,1,17,2,5,2,0,0,9,0,3,30,1,0,8,0,0,0,22,0
Hartinkov,Svitavy,Pardubický kraj,50,41,40,1,572284,4,0,0,0,0,0,4,4,0,0,0,0,5,0,0,13,1,0,1,3,0,0,5,0
Hartmanice,Svitavy,Pardubický kraj,254,177,177,1,578037,20,0,1,11,1,6,8,2,1,3,0,0,23,4,2,46,0,0,42,0,1,0,5,1
Horky,Svitavy,Pardubický kraj,92,72,72,1,578053,5,0,0,3,0,14,2,0,1,2,0,1,12,0,0,15,0,0,4,2,0,0,11,0
Horní Újezd,Svitavy,Pardubický kraj,329,230,230,1,572365,13,0,0,14,0,40,5,6,5,8,0,0,11,0,8,37,0,0,70,0,0,0,13,0
Hradec nad Svitavou,Svitavy,Pardubický kraj,1346,755,751,1,572691,36,4,0,77,0,21,90,4,20,8,1,1,60,0,12,250,0,2,50,4,2,5,102,2
Chmelík,Svitavy,Pardubický kraj,153,104,104,1,572730,9,0,0,8,1,1,11,1,1,1,0,0,4,0,6,24,0,2,10,1,0,0,24,0
Chornice,Svitavy,Pardubický kraj,717,386,385,1,578096,29,1,0,34,0,19,42,1,8,6,0,0,56,1,3,88,1,2,28,1,0,3,60,2
Chotěnov,Svitavy,Pardubický kraj,108,74,74,1,578100,4,0,0,2,0,21,7,0,0,0,0,0,7,0,7,10,0,0,12,0,0,0,4,0
Chotovice,Svitavy,Pardubický kraj,107,71,71,1,578118,0,0,0,1,0,6,3,0,0,1,0,0,9,0,4,9,0,0,34,0,0,0,4,0
Chrastavec,Svitavy,Pardubický kraj,177,120,120,1,578126,5,0,0,21,1,6,12,0,3,1,0,0,14,0,0,30,1,1,7,1,0,0,15,2
Janov,Svitavy,Pardubický kraj,760,412,410,1,578134,41,0,0,34,1,20,29,10,16,9,0,1,43,0,14,118,0,1,39,3,1,2,26,2
Janůvky,Svitavy,Pardubický kraj,46,34,34,1,578142,0,0,0,2,1,1,6,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,9,1
Jaroměřice,Svitavy,Pardubický kraj,986,545,543,1,578151,37,0,1,64,0,17,68,4,7,1,0,2,39,0,16,188,0,2,41,7,0,1,47,1
Jarošov,Svitavy,Pardubický kraj,138,112,112,1,578169,6,1,0,9,0,12,8,0,1,0,0,0,13,0,9,26,0,0,17,0,0,0,10,0
Javorník,Svitavy,Pardubický kraj,318,215,215,1,572713,16,0,1,26,0,4,27,2,2,2,0,0,31,0,5,60,0,0,12,1,0,1,24,1
Jedlová,Svitavy,Pardubický kraj,846,479,479,1,578185,50,2,0,60,0,18,35,7,9,4,0,1,42,0,15,153,0,1,44,1,1,1,33,2
Jevíčko,Svitavy,Pardubický kraj,2321,1412,1402,3,578193,147,7,1,118,1,63,126,10,22,5,1,2,130,0,41,411,0,3,110,7,2,3,186,6
Kamenec u Poličky,Svitavy,Pardubický kraj,420,261,259,1,578207,33,0,1,22,0,7,13,5,1,4,0,0,15,0,7,70,0,0,49,1,0,1,28,2
Kamenná Horka,Svitavy,Pardubický kraj,257,157,155,1,578215,5,0,0,9,0,6,27,0,2,0,0,0,4,0,0,78,4,1,2,0,0,2,15,0
Karle,Svitavy,Pardubický kraj,333,165,164,1,572748,9,0,0,13,0,4,22,0,2,0,0,0,11,0,3,53,0,0,8,0,3,1,35,0
Koclířov,Svitavy,Pardubický kraj,559,333,330,1,578231,14,0,0,26,0,20,33,1,9,12,0,1,26,1,5,109,0,1,35,2,1,2,32,0
Korouhev,Svitavy,Pardubický kraj,638,424,421,1,578258,61,0,0,24,1,18,42,2,10,6,0,0,45,0,14,117,1,0,39,6,2,2,29,2
Koruna,Svitavy,Pardubický kraj,110,59,57,1,578266,2,0,0,2,1,1,7,1,1,1,0,0,2,0,0,21,0,1,1,0,0,2,14,0
Křenov,Svitavy,Pardubický kraj,323,175,175,1,578274,10,0,0,14,0,2,27,1,3,4,0,0,10,0,4,66,1,0,5,0,0,1,27,0
Kukle,Svitavy,Pardubický kraj,65,52,52,1,572594,7,1,0,1,0,6,0,1,1,3,0,0,10,0,1,17,0,0,2,0,0,0,2,0
Kunčina,Svitavy,Pardubický kraj,1104,577,577,2,578282,51,4,0,40,0,19,57,1,4,6,0,0,58,0,12,221,1,1,30,2,3,0,65,2
Květná,Svitavy,Pardubický kraj,317,184,184,1,578291,13,0,0,20,0,7,12,1,3,1,1,0,21,0,1,50,1,3,22,0,1,0,27,0
Lavičné,Svitavy,Pardubický kraj,100,64,64,1,578304,3,0,0,6,0,0,13,0,1,0,0,0,4,0,0,22,0,0,3,0,0,0,12,0
Linhartice,Svitavy,Pardubický kraj,517,327,325,1,578339,19,1,0,25,0,4,42,5,4,9,0,0,32,2,8,110,0,0,13,0,1,2,48,0
Litomyšl,Svitavy,Pardubický kraj,8061,5325,5299,16,578347,893,4,4,313,5,234,275,77,50,71,3,6,579,10,411,1312,8,8,515,29,13,3,468,8
Lubná,Svitavy,Pardubický kraj,808,581,575,1,578355,50,4,0,27,0,46,46,4,2,10,0,0,65,0,14,120,2,0,132,3,0,1,49,0
Makov,Svitavy,Pardubický kraj,252,186,185,1,578363,10,0,0,2,2,19,10,3,2,1,1,1,14,2,6,51,0,0,51,0,0,2,8,0
Malíkov,Svitavy,Pardubický kraj,77,47,47,1,578371,1,0,0,6,0,1,12,0,0,0,1,0,0,0,1,23,0,0,1,0,0,0,1,0
Městečko Trnávka,Svitavy,Pardubický kraj,1172,725,723,8,578380,31,0,0,87,0,14,115,9,2,6,1,1,60,0,21,228,1,3,53,2,1,4,83,1
Mikuleč,Svitavy,Pardubický kraj,193,124,124,1,578398,1,1,0,8,3,3,10,2,11,1,0,0,9,0,2,41,0,0,5,0,0,1,26,0
Mladějov na Moravě,Svitavy,Pardubický kraj,356,204,202,1,578401,8,1,1,18,0,13,31,1,1,1,0,0,17,0,1,80,0,0,8,0,0,1,19,1
Morašice,Svitavy,Pardubický kraj,583,407,406,2,578428,32,1,0,13,0,54,20,4,6,4,1,0,46,0,14,127,0,0,40,5,2,0,36,1
Moravská Třebová,Svitavy,Pardubický kraj,8431,4816,4794,13,578444,394,15,4,532,5,144,560,48,51,71,6,1,433,6,119,1499,4,10,259,18,8,19,574,14
Nedvězí,Svitavy,Pardubický kraj,184,138,138,1,578452,13,0,0,13,0,12,7,1,2,0,0,0,11,0,2,47,0,1,24,0,0,0,4,1
Němčice,Svitavy,Pardubický kraj,751,497,496,2,580694,22,3,1,23,0,62,43,1,5,14,2,1,41,0,24,138,0,4,37,1,2,0,69,3
Nová Sídla,Svitavy,Pardubický kraj,179,120,120,1,572608,5,1,0,6,0,12,5,2,2,2,0,0,9,0,5,46,1,0,13,1,0,0,10,0
Nová Ves u Jarošova,Svitavy,Pardubický kraj,54,36,36,1,572438,5,0,0,2,0,1,1,2,1,0,0,0,2,0,0,10,0,0,6,0,0,1,5,0
Oldřiš,Svitavy,Pardubický kraj,533,347,346,1,578479,25,4,1,24,2,18,20,0,3,1,0,0,19,1,15,100,1,0,76,3,0,2,31,0
Opatov,Svitavy,Pardubický kraj,926,491,487,1,578487,26,7,0,47,1,73,56,11,4,1,0,0,33,0,10,135,0,0,29,1,2,1,47,3
Opatovec,Svitavy,Pardubický kraj,544,341,341,1,572721,33,0,0,38,0,21,30,7,14,4,0,2,23,0,17,86,0,0,18,2,1,0,45,0
Osík,Svitavy,Pardubický kraj,821,593,587,1,578509,78,1,0,43,2,47,52,8,4,6,2,2,44,1,32,144,0,1,61,3,2,3,49,2
Pohledy,Svitavy,Pardubický kraj,258,150,149,1,578550,6,0,0,9,0,1,18,3,1,2,0,0,9,0,3,67,0,0,8,0,0,0,22,0
Polička,Svitavy,Pardubický kraj,7156,4640,4611,12,578576,1056,2,4,352,3,99,319,63,46,74,4,2,436,3,168,1167,1,3,379,20,8,11,375,16
Pomezí,Svitavy,Pardubický kraj,974,553,551,2,578584,73,2,1,42,2,19,54,6,4,6,2,0,44,0,15,164,0,0,45,3,1,2,65,1
Poříčí u Litomyšle,Svitavy,Pardubický kraj,360,287,284,1,572373,19,1,0,11,0,81,12,4,1,4,0,1,20,1,11,51,0,0,47,0,0,0,19,1
Příluka,Svitavy,Pardubický kraj,133,103,101,1,578622,4,0,1,7,0,16,10,0,1,0,0,0,12,0,3,24,0,0,16,0,0,0,7,0
Pustá Kamenice,Svitavy,Pardubický kraj,269,180,180,1,578631,13,1,2,22,0,10,10,1,2,7,0,0,15,0,9,53,0,0,25,0,0,0,10,0
Pustá Rybná,Svitavy,Pardubický kraj,147,106,104,1,578649,18,0,0,8,0,8,5,2,0,1,0,1,17,0,3,30,0,0,5,2,1,0,1,2
Radiměř,Svitavy,Pardubický kraj,909,485,483,1,578657,29,1,1,52,0,23,60,4,7,8,0,1,35,0,9,151,1,2,29,0,3,7,58,2
Radkov,Svitavy,Pardubický kraj,99,63,61,1,574333,2,0,0,8,0,2,16,1,0,0,0,0,4,0,2,22,0,0,0,0,0,0,4,0
Rohozná,Svitavy,Pardubický kraj,535,332,331,1,578673,17,1,0,33,4,5,40,1,3,5,0,0,32,0,7,120,0,0,18,0,0,1,41,3
Rozhraní,Svitavy,Pardubický kraj,265,193,191,1,578681,13,1,0,6,0,10,22,2,1,3,0,0,22,0,8,61,0,0,22,0,1,1,15,3
Rozstání,Svitavy,Pardubický kraj,194,126,120,1,578690,1,0,0,11,0,7,31,0,0,0,0,0,4,0,0,50,0,0,5,0,0,0,11,0
Rudná,Svitavy,Pardubický kraj,135,79,79,1,578703,1,0,0,12,0,4,20,1,2,1,0,0,2,0,2,21,0,1,0,0,0,0,10,2
Rychnov na Moravě,Svitavy,Pardubický kraj,498,243,241,1,578711,8,0,1,27,0,14,18,2,3,4,0,0,19,0,6,91,0,0,19,0,1,0,28,0
Řídký,Svitavy,Pardubický kraj,60,43,43,1,572233,8,0,0,4,0,3,1,1,0,0,0,0,6,0,3,8,0,0,6,0,0,0,3,0
Sádek,Svitavy,Pardubický kraj,405,266,265,1,578720,42,0,0,18,0,9,11,3,2,1,0,0,17,0,12,76,0,3,51,0,0,0,20,0
Sebranice,Svitavy,Pardubický kraj,755,527,523,1,578738,44,3,0,31,0,41,24,5,5,11,1,0,46,2,32,97,0,0,154,4,0,0,22,1
Sedliště,Svitavy,Pardubický kraj,191,127,127,1,578746,10,0,0,6,0,17,8,2,3,4,0,0,5,0,3,39,0,0,4,0,0,4,22,0
Sklené,Svitavy,Pardubický kraj,192,94,94,1,578754,3,0,0,8,0,1,10,1,4,0,0,0,7,0,0,30,0,0,7,0,0,0,23,0
Slatina,Svitavy,Pardubický kraj,124,83,81,1,578762,3,0,0,6,1,6,10,1,1,0,0,0,5,0,0,32,0,0,9,1,0,0,5,1
Sloupnice,Svitavy,Pardubický kraj,1367,863,859,2,580325,47,0,0,55,1,127,33,6,10,14,1,0,69,1,25,263,1,2,107,4,1,2,85,5
Staré Město,Svitavy,Pardubický kraj,787,452,451,1,578789,30,3,0,34,2,8,55,10,7,7,0,0,44,0,11,157,0,1,8,0,3,2,69,0
Stašov,Svitavy,Pardubický kraj,206,108,107,1,578801,7,0,0,8,0,1,4,1,2,2,0,0,17,0,4,41,0,0,9,0,0,0,11,0
Strakov,Svitavy,Pardubický kraj,191,127,126,1,578819,8,1,0,8,1,9,5,0,7,0,1,0,18,0,9,38,0,0,11,1,1,0,8,0
Suchá Lhota,Svitavy,Pardubický kraj,76,54,54,1,578835,8,0,0,4,0,11,0,0,0,0,0,0,1,0,2,11,0,0,13,0,1,0,3,0
Svitavy,Svitavy,Pardubický kraj,13548,7948,7905,18,577731,742,8,3,777,6,185,737,98,139,102,1,7,917,6,235,2465,6,11,523,34,35,35,821,12
Svojanov,Svitavy,Pardubický kraj,321,235,233,3,578843,41,0,0,16,0,6,10,3,3,12,0,0,21,0,4,64,0,0,25,2,0,1,24,1
Široký Důl,Svitavy,Pardubický kraj,328,201,200,1,578851,25,0,0,8,0,14,8,5,1,5,0,0,14,0,17,45,1,0,44,0,2,0,11,0
Študlov,Svitavy,Pardubický kraj,111,71,71,1,578860,9,0,0,6,0,2,15,0,0,0,0,0,6,0,1,21,0,0,2,0,3,0,6,0
Telecí,Svitavy,Pardubický kraj,325,201,199,1,578878,12,0,0,30,0,7,7,3,1,6,0,0,22,0,7,62,0,0,25,2,3,1,11,0
Trpín,Svitavy,Pardubický kraj,339,246,246,1,578886,20,0,1,34,0,6,23,4,7,1,0,0,11,1,2,57,0,1,62,1,0,2,13,0
Trstěnice,Svitavy,Pardubický kraj,406,275,275,1,578894,13,0,1,18,0,25,23,3,3,2,0,0,28,0,18,73,0,0,35,1,2,0,30,0
Tržek,Svitavy,Pardubický kraj,147,87,84,1,572616,7,0,0,8,0,11,7,1,2,0,0,0,15,1,2,8,0,0,13,0,1,0,7,1
Třebařov,Svitavy,Pardubický kraj,736,297,295,1,578908,16,1,0,19,0,9,37,3,4,6,1,0,28,0,10,102,0,3,8,0,2,1,45,0
Újezdec,Svitavy,Pardubický kraj,79,52,49,1,578916,4,0,0,5,0,5,3,0,2,0,0,0,4,0,2,15,0,0,5,0,0,0,4,0
Útěchov,Svitavy,Pardubický kraj,218,152,152,1,572624,14,1,0,15,0,2,17,4,1,10,0,1,12,0,0,50,0,0,4,1,0,0,19,1
Vendolí,Svitavy,Pardubický kraj,757,425,421,1,578932,20,0,0,37,0,52,45,1,10,4,0,0,36,0,10,129,0,2,20,5,2,1,46,1
Vidlatá Seč,Svitavy,Pardubický kraj,233,170,170,1,578941,7,0,0,6,0,19,14,2,1,2,0,1,21,0,8,45,0,1,28,0,0,0,15,0
Víska u Jevíčka,Svitavy,Pardubický kraj,136,70,70,1,578959,0,0,0,11,0,3,14,2,0,0,0,0,5,1,0,23,0,0,1,0,0,1,9,0
Vítějeves,Svitavy,Pardubický kraj,328,189,188,1,578967,7,0,0,11,0,2,24,1,1,4,0,0,7,0,3,81,0,0,13,0,0,1,31,2
Vlčkov,Svitavy,Pardubický kraj,78,60,60,1,581127,2,0,0,1,0,11,4,1,0,0,0,0,5,0,3,17,0,0,6,0,0,0,10,0
Vranová Lhota,Svitavy,Pardubický kraj,373,196,193,1,578975,12,0,0,15,0,7,29,0,3,0,0,0,10,1,7,64,0,1,5,1,0,5,33,0
Vrážné,Svitavy,Pardubický kraj,58,44,44,1,572292,4,2,0,0,0,5,2,1,0,6,0,0,11,0,1,10,0,0,1,0,0,0,1,0
Vysoká,Svitavy,Pardubický kraj,39,27,26,1,578991,5,0,0,2,0,1,1,1,0,0,2,0,0,0,0,6,0,0,7,0,0,0,1,0
Želivsko,Svitavy,Pardubický kraj,28,20,20,1,572195,1,0,0,0,0,1,4,0,2,1,0,0,2,0,0,6,0,0,0,1,0,0,2,0
Albrechtice,Ústí nad Orlicí,Pardubický kraj,368,214,214,1,547981,9,2,0,11,0,8,25,5,0,3,0,0,16,0,6,92,0,0,2,1,1,0,32,1
Anenská Studánka,Ústí nad Orlicí,Pardubický kraj,150,70,69,1,573426,5,5,0,1,0,2,11,0,0,0,0,1,3,1,0,15,0,0,10,0,0,0,14,1
